datetime,ciudad,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-09-01,Madrid,20.27,34.3,28.5
2020-10-01,Madrid,13.15,51.4,39.4
2020-11-01,Madrid,9.87,94.2,23.5
2020-12-01,Madrid,6.18,38.7,34.4
2010-01-01,Rio,27.9,114.7,20.2
2010-02-01,Rio,28.67,93.9,27.0
2010-03-01,Rio,26.18,143.6,20.4
2010-04-01,Rio,23.45,161.9,29.5
2010-05-01,Rio,21.49,36.1,29.3
2010-06-01,Rio,18.96,38.5,27.1
2010-07-01,Rio,20.36,33.5,27.3
2010-08-01,Rio,20.16,17.9,32.4
2010-09-01,Rio,22.04,83.4,28.1
2010-10-01,Rio,22.03,83.7,25.7
2010-11-01,Rio,23.67,108.0,22.1
2010-12-01,Rio,25.8,168.6,26.3
2011-01-01,Rio,26.87,148.8,23.8
2011-02-01,Rio,28.09,44.4,24.7
2011-03-01,Rio,24.43,166.9,20.3
2011-04-01,Rio,24.38,92.4,18.8
2011-05-01,Rio,20.73,61.7,22.0
2011-06-01,Rio,19.24,31.5,31.6
2011-07-01,Rio,19.62,24.8,23.8
2011-08-01,Rio,21.19,33.5,28.2
2011-09-01,Rio,20.65,27.2,27.7
2011-10-01,Rio,23.25,89.9,23.7
2011-11-01,Rio,22.7,117.8,25.6
2011-12-01,Rio,24.57,129.4,25.2
2012-01-01,Rio,24.97,235.5,19.5
2012-02-01,Rio,26.84,33.0,20.9
2012-03-01,Rio,25.66,74.2,27.1
2012-04-01,Rio,24.21,69.4,22.8
2012-05-01,Rio,20.84,84.5,26.0
2012-06-01,Rio,21.4,72.1,22.4
2012-07-01,Rio,20.34,26.3,29.7
2012-08-01,Rio,20.68,7.4,28.1
2012-09-01,Rio,22.74,41.1,32.4
2012-10-01,Rio,25.12,26.5,27.4
2012-11-01,Rio,23.36,122.9,25.2
2012-12-01,Rio,27.87,71.4,22.1
2013-01-01,Rio,25.27,351.9,26.3
2013-02-01,Rio,27.14,80.7,18.4
2013-03-01,Rio,25.09,156.6,25.2
2013-04-01,Rio,22.79,37.3,25.5
2013-05-01,Rio,21.49,59.2,35.8
2013-06-01,Rio,21.23,47.3,21.8
2013-07-01,Rio,19.41,96.9,30.6
2013-08-01,Rio,20.28,25.7,31.9
2013-09-01,Rio,22.09,72.0,36.4
2013-10-01,Rio,22.49,116.1,27.8
2013-11-01,Rio,23.64,154.1,25.7
2013-12-01,Rio,25.14,88.0,25.8
2014-01-01,Rio,28.69,15.0,22.8
2014-02-01,Rio,28.49,51.7,23.1
2014-03-01,Rio,26.39,71.7,21.0
2014-04-01,Rio,23.45,137.5,29.6
2014-05-01,Rio,21.51,38.0,25.2
2014-06-01,Rio,21.09,48.8,26.1
2014-07-01,Rio,19.83,88.4,26.4
2014-08-01,Rio,20.31,40.0,27.3
2014-09-01,Rio,22.61,36.7,27.1
2014-10-01,Rio,24.1,17.5,27.2
2014-11-01,Rio,24.89,67.9,26.8
2014-12-01,Rio,27.15,51.9,23.4
2015-01-01,Rio,29.18,70.8,19.2
2015-02-01,Rio,27.02,226.8,21.9
2015-03-01,Rio,25.38,143.0,22.4
2015-04-01,Rio,23.77,64.3,30.0
2015-05-01,Rio,21.64,49.5,21.5
2015-06-01,Rio,20.91,39.5,26.7
2015-07-01,Rio,21.41,45.5,31.8
2015-08-01,Rio,22.05,22.6,23.4
2015-09-01,Rio,23.39,82.7,27.5
2015-10-01,Rio,24.73,34.9,25.4
2015-11-01,Rio,25.23,166.9,26.6
2015-12-01,Rio,26.96,70.0,21.4
2016-01-01,Rio,25.92,262.6,25.5
2016-02-01,Rio,27.87,151.6,29.4
2016-03-01,Rio,26.25,118.3,20.3
2016-04-01,Rio,26.24,29.0,29.4
2016-05-01,Rio,21.61,52.4,27.8
2016-06-01,Rio,19.19,49.0,21.5
2016-07-01,Rio,20.39,3.2,27.7
2016-08-01,Rio,21.39,33.9,34.5
2016-09-01,Rio,22.36,30.5,25.6
2016-10-01,Rio,23.16,94.3,27.3
2016-11-01,Rio,23.68,140.9,32.4
2016-12-01,Rio,26.52,64.8,23.6
2017-01-01,Rio,28.53,118.3,22.3
2017-02-01,Rio,28.1,54.2,26.2
2017-03-01,Rio,25.96,190.5,27.0
2017-04-01,Rio,23.86,109.7,26.9
2017-05-01,Rio,21.89,67.3,26.8
2017-06-01,Rio,21.15,40.7,31.8
2017-07-01,Rio,19.98,32.8,32.6
2017-08-01,Rio,20.49,58.9,34.6
2017-09-01,Rio,22.98,12.9,26.8
2017-10-01,Rio,24.51,41.4,36.3
2017-11-01,Rio,24.3,111.4,30.8
2017-12-01,Rio,25.63,77.5,28.6
2018-01-01,Rio,26.83,256.2,22.0
2018-02-01,Rio,25.89,145.5,19.8
2018-03-01,Rio,26.43,121.0,25.3
2018-04-01,Rio,24.35,80.7,24.1
2018-05-01,Rio,22.19,60.2,27.5
2018-06-01,Rio,21.5,50.9,24.7
2018-07-01,Rio,21.22,56.3,27.8
2018-08-01,Rio,20.53,76.0,29.3
2018-09-01,Rio,22.55,45.8,26.6
2018-10-01,Rio,23.47,109.5,27.7
2018-11-01,Rio,24.44,157.7,31.4
2018-12-01,Rio,26.16,84.9,26.5
2019-01-01,Rio,29.3,29.1,23.7
2019-02-01,Rio,27.02,134.5,30.6
2019-03-01,Rio,26.23,201.9,24.9
2019-04-01,Rio,25.46,84.5,33.5
2019-05-01,Rio,23.87,124.2,27.8
2019-06-01,Rio,22.49,23.6,31.2
2019-07-01,Rio,20.86,37.0,35.9
2019-08-01,Rio,20.62,80.0,34.7
2019-09-01,Rio,22.34,94.3,26.0
2019-10-01,Rio,24.0,62.1,27.4
2019-11-01,Rio,24.05,189.7,28.0
2019-12-01,Rio,25.54,108.7,23.7
2020-01-01,Rio,26.77,101.1,26.9
